序號	漢字	Unicode	字集	本土包	日語包	粵語包	命名包	有疑問／想挑戰紀錄
10706	眵	07735	Big5-2	V				
12606	睄	07744	Big5-2			V		
8630	睆	07746	Big5-2				V	
12607	睎	0774E	Big5-2				V	
6928	睭	0776D	Big5-2	V				
6251	睾	0777E	Big5-2		V			
6252	瞓	07793	CJK			V		
12617	瞨	077A8	Big5-2	V				
6929	矋	077CB	CJK			V		
9577	矞	077DE	Big5-2				V	
12626	矺	077FA	Big5-2	V				
10716	矻	077FB	Big5-2	V				
8637	砄	07804	CJK	V				
10719	砉	07809	Big5-2	V				
8638	砕	07815	CJK		V			
8639	砛	0781B	CJK	V				
10723	砡	07821	Big5-2				V	
7820	砣	07823	Big5-2	V				
7821	砺	0783A	CJK		V			
8640	砿	0783F	CJK		V			
6254	硓	07853	CJK	V				
12632	硘	07858	CJK				V	
9580	硞	0785E	Big5-2	V				
7823	硤	07864	Big5-2			V		
12634	硦	07866	CJK				V	
9581	硩	07869	Big5-2	V				
7824	硲	07872	CJK		V			
6255	碍	0788D	CJK		V			
6585	碕	07895	Big5-2		V		V	
10729	碖	07896	Big5-2	V				
12637	碡	078A1	Big5-2	V				
12639	碫	078AB	Big5-2	V				
7825	碭	078AD	Big5-2	V				
8649	磘	078D8	CJK				V	
12645	磟	078DF	Big5-2	V				
7298	磳	078F3	Big5-2	V				
6933	礐	07910	Big5-2	V				
9588	礤	07924	Big5-2	V				
8653	礮	0792E	CJK				V	
6934	礱	07931	Big5-2	V				
7300	礼	0793C	CJK		V			
7829	祜	0795C	Big5-2				V	
8658	祤	07964	Big5-2				V	
7301	祧	07967	Big5-2	V				
7302	祷	07977	CJK		V			
7831	禄	07984	CJK		V			
7832	禅	07985	CJK		V			
8661	禇	07987	CJK				V	
7303	禊	0798A	Big5-2		V			
18097	禑	07991	CJK				V	
7304	禔	07994	Big5-2				V	
8664	禤	079A4	Big5-2				V	
6263	种	079CD	Big5-2				V	
8668	秜	079DC	Big5-2				V	
6591	秝	079DD	Big5-2				V	
9591	秥	079E5	CJK	V				
9592	秪	079EA	Big5-2	V				
6592	秫	079EB	Big5-2	V				
6593	秬	079EC	Big5-2				V	
12660	秮	079EE	Big5-2	V				
7835	称	079F0	CJK		V			
6594	税	07A0E	CJK		V	V		
7836	稘	07A18	Big5-2				V	
7307	稙	07A19	Big5-2		V			
8671	稲	07A32	CJK		V			
9595	稴	07A34	CJK	V				
8672	穂	07A42	CJK		V			
8674	穏	07A4F	CJK		V			
8675	穐	07A50	CJK		V			
8677	穣	07A63	CJK		V			
6596	穰	07A70	Big5-2		V		V	
7843	窃	07A83	CJK		V			
7844	窓	07A93	CJK		V			
12668	窞	07A9E	Big5-2	V				
5908	窰	07AB0	CJK			V		
12670	窵	07AB5	Big5-2	V				
7846	竃	07AC3	CJK		V			
7310	竜	07ADC	CJK		V			
7311	竝	07ADD	CJK				V	
6267	竪	07AEA	CJK		V		V	
10756	竫	07AEB	Big5-2				V	
8680	竳	07AF3	CJK	V				
9606	竵	07AF5	CJK	V				
12674	竻	07AFB	Big5-2	V				
7313	笊	07B0A	Big5-2	V	V			
12676	笐	07B10	Big5-2	V				
12677	笒	07B12	Big5-2	V				
7314	笥	07B25	Big5-2	V	V			
9607	笭	07B2D	Big5-2				V	
7849	笱	07B31	Big5-2	V				
6268	笳	07B33	Big5-2				V	
6599	笹	07B39	CJK		V			
6269	筅	07B45	Big5-2	V	V			
6270	筈	07B48	Big5-2		V			
8685	筎	07B4E	Big5-2				V	
7850	筝	07B5D	CJK		V			
6600	筲	07B72	Big5-2			V		
12681	筳	07B73	Big5-2				V	
8689	箂	07B82	Big5-2				V	
12682	箅	07B85	Big5-2	V				
8691	箆	07B86	CJK		V			
8693	箐	07B90	Big5-2				V	
7851	箒	07B92	CJK		V			
7853	箪	07BAA	CJK		V			
8695	篪	07BEA	Big5-2				V	
8696	篭	07BED	CJK		V			
8697	篱	07BF1	Big5-2	V				
8699	篼	07BFC	CJK	V				
7855	簀	07C00	Big5-2		V			
8704	籗	07C57	Big5-2	V				
6273	籙	07C59	Big5-2	V			V	
7860	籾	07C7E	CJK		V			
7324	粁	07C81	Big5-2		V			
7861	粂	07C82	CJK		V			
12697	粅	07C85	Big5-2	V				
7325	粋	07C8B	CJK		V			
6274	粍	07C8D	Big5-2		V			
7863	粛	07C9B	CJK		V			
10776	粞	07C9E	Big5-2	V				
6275	粢	07CA2	Big5-2	V			V	
5918	粮	07CAE	CJK				V	
7326	糀	07CC0	CJK		V			
7327	糉	07CC9	CJK			V		
9620	糋	07CCB	Big5-2	V				
5920	糍	07CCD	CJK	V		V		
5921	糎	07CCE	CJK		V			
7328	糝	07CDD	Big5-1	V				
8713	糭	07CED	CJK			V		
12704	紩	07D29	Big5-2	V				
7871	経	07D4C	CJK		V			
6278	絚	07D5A	CJK	V				
7332	絪	07D6A	Big5-2	V			V	
12712	絭	07D6D	Big5-2	V				
8717	絵	07D75	CJK		V			
6941	絶	07D76	CJK		V			
7873	継	07D99	CJK		V			
7874	続	07D9A	CJK		V			
9625	綝	07D9D	Big5-2				V	
9626	綦	07DA6	Big5-2				V	
10786	綪	07DAA	Big5-2				V	
6942	綮	07DAE	Big5-2				V	
7875	綯	07DAF	Big5-2	V				
6605	緁	07DC1	Big5-2				V	
8720	総	07DCF	CJK		V			
8721	緑	07DD1	CJK		V			
12724	緖	07DD6	CJK		V			
6943	緗	07DD7	Big5-2				V	
10790	緟	07DDF	Big5-2	V				
12726	緪	07DEA	Big5-2	V				
7879	縁	07E01	CJK		V			
8723	縄	07E04	CJK		V			
7880	縋	07E0B	Big5-2	V				
7337	縒	07E12	Big5-2	V				
7881	縕	07E15	Big5-2				V	
9629	縖	07E16	Big5-2	V				
7338	縢	07E22	Big5-2				V	
8725	縦	07E26	CJK		V			
6608	縭	07E2D	Big5-2	V				
6281	縯	07E2F	Big5-1				V	
8728	繊	07E4A	CJK		V			
8729	繋	07E4B	CJK		V			
8730	繍	07E4D	CJK		V			
8731	繏	07E4F	CJK	V				
9631	繐	07E50	Big5-2	V			V	
10795	繷	07E77	Big5-2	V				
6286	罠	07F60	Big5-2		V			
6288	罨	07F68	Big5-2	V				
12782	罶	07F76	Big5-2	V				
9644	罾	07F7E	Big5-2	V				
7890	羑	07F91	Big5-2				V	
7891	羓	07F93	CJK	V				
6951	羗	07F97	CJK			V		
5590	羣	07FA3	CJK			V	V	
8739	羮	07FAE	CJK		V			
7894	羴	07FB4	CJK	V				
8740	翃	07FC3	Big5-2				V	
12792	翍	07FCD	Big5-2	V				
12794	翸	07FF8	Big5-2	V				
7895	翾	07FFE	Big5-2				V	
9648	耎	0800E	Big5-2	V				
12796	耖	08016	Big5-2	V				
12797	耞	0801E	Big5-2	V				
6291	耷	08037	Big5-2			V		
8743	聡	08061	CJK		V			
10887	聬	0806C	Big5-2	V				
7897	聴	08074	CJK		V			
9651	肨	080A8	CJK	V				
8747	肭	080AD	Big5-2	V				
5594	胆	080C6	CJK		V			
12809	胐	080D0	Big5-2	V				
12810	胘	080D8	Big5-2	V				
10895	胠	080E0	Big5-2	V				
9652	胮	080EE	CJK	V				
12811	胲	080F2	Big5-2	V				
6619	胿	080FF	CJK	V				
6620	脇	08107	CJK		V		V	
6622	脚	0811A	CJK		V		V	
6623	脢	08122	Big5-2	V				
7349	脥	08125	Big5-2	V				
12817	脧	08127	Big5-2	V				
8750	脬	0812C	Big5-2	V				
6625	脱	08131	CJK		V	V		
8751	脳	08133	CJK		V			
6292	脷	08137	CJK			V		
12820	脽	0813D	Big5-2	V				
10901	腍	0814D	Big5-2	V				
12821	腡	08161	Big5-2	V				
9656	膁	08181	CJK	V				
8755	膋	0818B	Big5-2	V				
6626	膎	0818E	CJK	V				
6628	膣	081A3	Big5-2	V	V			
12825	膦	081A6	Big5-2	V				
7903	膭	081AD	CJK	V				
6956	膵	081B5	Big5-2		V			
6957	膶	081B6	CJK			V		
7904	臁	081C1	CJK	V				
12829	臌	081CC	Big5-2	V				
8760	臓	081D3	CJK		V			
9660	臽	081FD	CJK	V				
8761	舎	0820E	CJK		V			
8762	舗	08217	CJK		V			
8764	舩	08229	CJK		V			
8765	舲	08232	Big5-2				V	
6630	舳	08233	Big5-2				V	
8766	艚	0825A	Big5-2	V				
6297	艫	0826B	Big5-2				V	
7351	艶	08276	CJK		V			
7353	艿	0827F	Big5-2				V	
9666	芠	082A0	Big5-2				V	
6298	芦	082A6	CJK		V			
7911	芪	082AA	CJK				V	
8772	苅	082C5	CJK		V			
6631	苴	082F4	Big5-2	V				
7356	苾	082FE	Big5-2				V	
10929	茀	08300	Big5-2				V	
10930	茈	08308	Big5-2	V				
7914	茎	0830E	CJK		V			
10932	茿	0833F	Big5-2				V	
12870	荍	0834D	Big5-2	V				
7357	荑	08351	Big5-2				V	
8776	荘	08358	CJK		V			
9673	荺	0837A	Big5-2				V	
6961	莅	08385	CJK				V	
9674	莙	08399	Big5-2				V	
8777	莛	0839B	Big5-2				V	
8781	莯	083AF	Big5-2				V	
7919	莱	083B1	CJK		V			
8785	菉	083C9	Big5-2				V	
5943	菏	083CF	Big5-2				V	
10946	菝	083DD	Big5-2	V				
6633	菡	083E1	Big5-2				V	
10947	菣	083E3	Big5-2	V				
7360	萓	08413	Big5-2				V	
7925	萠	08420	CJK		V			
12887	萲	08432	Big5-2				V	
6305	葇	08447	Big5-2				V	
7361	葎	0844E	Big5-2		V			
10954	葑	08451	Big5-2				V	
8790	葒	08452	Big5-2				V	
7930	蒋	0848B	CJK		V			
7931	蒍	0848D	Big5-2				V	
12894	蒓	08493	CJK				V	
10959	蒝	0849D	Big5-2				V	
7363	蔀	08500	Big5-2		V			
6310	蔴	08534	CJK			V	V	
7939	蔵	08535	CJK		V			
7365	蕒	08552	CJK	V				
6311	蕓	08553	Big5-2				V	
6312	蕗	08557	Big5-2	V	V			
7366	蕘	08558	Big5-2	V				
7944	蕣	08563	Big5-2				V	
9682	蕥	08565	Big5-2				V	
8799	蕳	08573	CJK	V				
7368	蕹	08579	Big5-2	V				
7369	薀	08580	Big5-2				V	
12908	薁	08581	Big5-2	V				
7945	薅	08585	Big5-2	V				
7946	薆	08586	Big5-2				V	
6314	薌	0858C	Big5-2				V	
7370	薐	08590	Big5-2	V			V	
8800	薗	08597	CJK		V			
9683	薟	0859F	Big5-2	V				
7948	薫	085AB	CJK		V			
8803	薬	085AC	CJK		V			
8804	薮	085AE	CJK		V			
16134	薳	085B3	Big5-2				V	
9684	薷	085B7	Big5-2				V	
9685	薸	085B8	Big5-2	V				
9686	薾	085BE	Big5-2				V	
7949	藁	085C1	CJK		V			
12913	藃	085C3	Big5-2	V				
8805	藠	085E0	CJK	V				
7950	藴	085F4	CJK			V		
8806	蘄	08604	Big5-2				V	
12920	蘐	08610	CJK				V	
12924	蘩	08629	Big5-2				V	
7953	虚	0865A	CJK		V			
6316	虢	08662	Big5-2				V	
6636	虬	0866C	CJK	V				
9691	虼	0867C	Big5-2	V				
10979	蚻	086BB	Big5-2	V				
8810	蛍	086CD	CJK		V			
8811	蛎	086CE	CJK		V			
7959	蛮	086EE	CJK		V			
6969	蛯	086EF	CJK		V			
12936	蜅	08705	Big5-2	V				
7960	蜕	08715	CJK			V		
7961	蜞	0871E	Big5-2	V				
7962	蜱	08731	Big5-2	V				
10987	蜺	0873A	Big5-2	V				
7963	蝉	08749	CJK		V			
7964	蝋	0874B	CJK		V			
12939	蝒	08752	Big5-2	V				
10990	蝛	0875B	Big5-2	V				
10991	蝝	0875D	Big5-2	V				
8815	蝲	08772	CJK	V				
12945	蝹	08779	Big5-2	V				
10993	蝻	0877B	Big5-2	V				
8817	蝿	0877F	CJK		V			
6972	螆	08786	CJK			V		
12946	螔	08794	Big5-2	V				
7965	螕	08795	CJK	V				
12949	螷	087B7	Big5-2	V				
8821	螿	087BF	Big5-2	V				
8825	蟧	087E7	Big5-2	V				
6973	蟮	087EE	CJK	V				
6640	蟶	087F6	Big5-2	V				
12959	蠐	08810	Big5-2	V				
7970	蠘	08818	CJK	V				
9706	蠲	08832	Big5-2				V	
6643	衆	08846	CJK		V			
11002	衎	0884E	Big5-2				V	
5292	衞	0885E	CJK		V	V	V	
12973	袚	0889A	Big5-2	V				
6645	袴	088B4	CJK		V			
7381	袷	088B7	Big5-2		V			
7979	装	088C5	CJK		V			
6976	裇	088C7	CJK			V		
12977	裌	088CC	Big5-2	V				
7981	裼	088FC	Big5-2	V				
6647	裾	088FE	Big5-2	V	V			
9719	褘	08918	Big5-2				V	
8839	襀	08940	CJK	V				
8841	襇	08947	CJK	V				
6323	襌	0894C	Big5-2	V				
6324	襦	08966	Big5-2		V		V	
12987	襻	0897B	Big5-2	V				
9722	覂	08982	Big5-2	V				
5969	覇	08987	CJK		V			
7383	覕	08995	Big5-2	V				
7384	覗	08997	Big5-2		V			
8849	覚	0899A	CJK		V			
7987	覧	089A7	CJK		V			
7990	観	089B3	CJK		V			
6327	觜	089DC	Big5-2	V				
8854	觭	089ED	Big5-2				V	
8855	觱	089F1	Big5-2	V				
8856	觳	089F3	Big5-2	V				
12994	訄	08A04	Big5-2	V				
8858	訳	08A33	CJK		V			
16467	詅	08A45	Big5-2				V	
11017	詏	08A4F	Big5-2	V				
7994	詑	08A51	Big5-2		V			
7386	誂	08A82	Big5-2		V			
7997	誉	08A89	CJK		V			
8859	誐	08A90	CJK	V				
6654	説	08AAC	CJK		V	V		
8860	読	08AAD	CJK		V			
6983	誾	08ABE	Big5-2				V	
8861	諌	08ACC	CJK		V			
6655	諞	08ADE	Big5-2	V				
6332	諠	08AE0	Big5-2				V	
13004	諪	08AEA	CJK				V	
6984	諴	08AF4	Big5-2				V	
6334	謚	08B1A	Big5-2				V	
8001	謡	08B21	CJK		V			
6335	謦	08B26	Big5-2				V	
13009	謼	08B3C	Big5-2	V				
9733	譀	08B40	Big5-2	V				
6336	譌	08B4C	CJK			V		
11025	譓	08B53	Big5-2				V	
8862	譔	08B54	Big5-2				V	
8866	譲	08B72	CJK		V			
9735	譿	08B7F	Big5-2				V	
8003	讃	08B83	CJK		V			
6658	讌	08B8C	Big5-2				V	
8004	讐	08B90	CJK		V			
13046	豍	08C4D	Big5-2	V				
11107	豑	08C51	CJK				V	
7392	豭	08C6D	Big5-1	V				
6660	貰	08CB0	Big5-2		V			
9744	貺	08CBA	Big5-2	V			V	
8870	賎	08CCE	CJK		V			
8008	賛	08CDB	CJK		V			
8871	賰	08CF0	Big5-2	V				
11113	賾	08CFE	Big5-2				V	
6661	贄	08D04	Big5-2		V		V	
8009	贇	08D07	Big5-2				V	
5980	贋	08D0B	CJK		V	V		
8872	贌	08D0C	CJK	V				
7393	贐	08D10	Big5-2	V				
11163	赮	08D6E	Big5-2				V	
9748	趒	08D92	Big5-2	V				
5310	趺	08DBA	Big5-1	V				
13066	趼	08DBC	Big5-2	V				
13068	跁	08DC1	Big5-2	V				
8010	跂	08DC2	Big5-2	V				
11168	跈	08DC8	Big5-2	V				
9752	跍	08DCD	Big5-2	V				
6340	跏	08DCF	Big5-2	V				
8011	跔	08DD4	CJK	V				
13073	跕	08DD5	Big5-2	V				
9753	跙	08DD9	Big5-2	V				
6341	跣	08DE3	Big5-2	V		V		
8013	践	08DF5	CJK		V			
6342	踅	08E05	Big5-2	V				
6993	踎	08E0E	CJK			V		
11173	踔	08E14	Big5-2	V				
11174	踜	08E1C	Big5-2	V				
13081	踣	08E23	Big5-2	V				
5984	踭	08E2D	CJK	V		V	V	
13084	蹀	08E40	Big5-2	V				
9756	蹁	08E41	Big5-2	V				
7397	蹔	08E54	Big5-2	V				
13086	蹘	08E58	CJK	V				
9758	蹛	08E5B	Big5-2	V				
13088	蹳	08E73	Big5-2	V				
7398	蹽	08E7D	CJK	V				
6994	躀	08E80	CJK			V		
8880	躄	08E84	Big5-2	V				
13093	躘	08E98	Big5-2	V				
6664	躭	08EAD	CJK			V		
8020	躯	08EAF	CJK		V			
6665	躼	08EBC	CJK	V				
13096	躽	08EBD	Big5-2	V				
7400	躾	08EBE	CJK		V			
6666	軁	08EC1	CJK	V				
6667	軚	08EDA	CJK			V		
8883	転	08EE2	CJK		V			
8886	軽	08EFD	CJK		V			
6996	輋	08F0B	Big5-2			V		
9764	輌	08F0C	CJK		V			
6998	轢	08F62	Big5-2		V			
8027	辞	08F9E	CJK		V			
11211	辳	08FB3	CJK				V	
6668	辺	08FBA	CJK		V			
6669	辻	08FBB	CJK		V			
6670	込	08FBC	CJK		V			
6347	辿	08FBF	Big5-2		V			
6348	迌	08FCC	CJK	V				
13110	迒	08FD2	Big5-2	V				
8894	迩	08FE9	CJK		V			
9774	迵	08FF5	Big5-2	V				
5643	迹	08FF9	CJK			V		
6350	逄	09004	Big5-2				V	
7000	递	09012	CJK	V				
8029	逓	09013	CJK		V			
11227	逤	09024	Big5-2				V	
9777	逩	09029	CJK	V				
8895	遅	09045	CJK		V			
7403	遡	09061	CJK		V			
7404	遥	09065	CJK		V			
11230	遰	09070	Big5-2	V				
13116	遹	09079	Big5-2	V				
8897	邉	09089	CJK		V			
13125	邠	090A0	Big5-2				V	
13126	邡	090A1	Big5-2				V	
8899	邴	090B4	Big5-2				V	
8900	郅	090C5	Big5-2				V	
11235	郇	090C7	Big5-2				V	
8033	郜	090DC	Big5-2				V	
9780	郞	090DE	CJK		V			
7406	郷	090F7	CJK		V			
8035	郿	090FF	Big5-2				V	
9781	鄖	09116	Big5-2				V	
11241	酇	09147	Big5-2	V				
8905	酔	09154	CJK		V			
11244	酺	0917A	Big5-2	V				
8910	醖	09196	CJK			V		
8911	醗	09197	CJK		V			
7410	醡	091A1	Big5-2	V				
8040	醢	091A2	Big5-2	V				
8912	醤	091A4	CJK		V			
8913	醸	091B8	CJK		V			
13148	醹	091B9	Big5-2	V				
8914	釃	091C3	Big5-2	V				
7412	釅	091C5	Big5-1	V				
8042	釈	091C8	CJK		V			
6678	釔	091D4	Big5-2				V	
7004	釤	091E4	Big5-2				V	
9788	鈁	09201	Big5-2				V	
11252	鈂	09202	Big5-2	V				
11253	鈃	09203	Big5-2	V				
9789	鈅	09205	Big5-2				V	
7006	鈊	0920A	Big5-2				V	
11254	鈗	09217	Big5-2	V				
8044	鈜	0921C	Big5-2				V	
11255	鈤	09224	Big5-2				V	
5990	鈪	0922A	CJK	V		V		
7007	鈮	0922E	Big5-2				V	
13170	鈱	09231	Big5-2				V	
16878	鈵	09235	CJK				V	
5991	鉄	09244	CJK		V			
13175	鉌	0924C	Big5-2				V	
8046	鉎	0924E	Big5-2	V			V	
7009	鉔	09254	Big5-2	V				
7418	鉝	0925D	CJK				V	
5993	鉢	09262	CJK		V	V		
13181	鉯	0926F	Big5-2				V	
8923	鉱	09271	CJK		V			
11266	鉷	09277	CJK				V	
6366	鉾	0927E	Big5-2		V			
8924	銍	0928D	Big5-2				V	
8925	銎	0928E	Big5-2	V				
7013	銧	092A7	Big5-2				V	
7014	銪	092AA	Big5-2				V	
8926	銭	092AD	CJK		V			
8928	鋆	092C6	Big5-2				V	
6367	鋉	092C9	Big5-2	V				
13197	鋊	092CA	Big5-2				V	
9793	鋑	092D1	Big5-2				V	
8051	鋕	092D5	Big5-2				V	
9795	鋗	092D7	Big5-2				V	
9796	鋙	092D9	Big5-2				V	
9797	鋟	092DF	Big5-2	V				
6689	鋩	092E9	Big5-2	V				
6368	鋭	092ED	CJK		V	V		
11276	鋮	092EE	Big5-2				V	
8929	鋲	092F2	CJK		V			
8930	鋳	092F3	CJK		V			
8931	錂	09302	Big5-2				V	
6370	錆	09306	Big5-2		V		V	
13207	錇	09307	CJK				V	
8053	錏	0930F	Big5-2				V	
8932	錑	09311	CJK	V				
7425	錝	0931D	Big5-2				V	
8934	錤	09324	Big5-2				V	
9803	錥	09325	Big5-2				V	
8054	錩	09329	Big5-2				V	
9804	錪	0932A	Big5-2				V	
8935	錬	0932C	CJK		V			
16921	錱	09331	CJK				V	
8055	録	09332	CJK		V			
8936	錺	0933A	CJK		V			
7427	錼	0933C	Big5-2				V	
8056	鍇	09347	Big5-2				V	
8939	鍈	09348	CJK				V	
13221	鍌	0934C	Big5-2				V	
13223	鍏	0934F	Big5-2				V	
9806	鍗	09357	Big5-2				V	
6004	鍚	0935A	Big5-1				V	
8059	鍠	09360	Big5-2				V	
11281	鍤	09364	Big5-2	V				
8061	鍮	0936E	CJK		V			
11283	鍱	09371	Big5-2				V	
8941	鍹	09379	Big5-2				V	
6691	鎅	09385	CJK			V		
11285	鎛	0939B	Big5-2				V	
9809	鎡	093A1	Big5-2				V	
13239	鎣	093A3	Big5-2				V	
6372	鎭	093AD	CJK		V			
9810	鏀	093C0	Big5-2	V				
9811	鏄	093C4	Big5-2				V	
8062	鏇	093C7	Big5-2				V	
7020	鏌	093CC	Big5-2				V	
7021	鏵	093F5	Big5-2				V	
9813	鏸	093F8	Big5-2				V	
7434	鏹	093F9	Big5-2				V	
18379	鐈	09408	CJK				V	
11290	鐏	0940F	Big5-2				V	
8946	鐓	09413	Big5-2	V				
7436	鐠	09420	Big5-2				V	
16977	鐤	09424	CJK				V	
7024	鐽	0943D	Big5-2				V	
6695	鐿	0943F	Big5-2				V	
7025	鑀	09440	Big5-2				V	
7026	鑌	0944C	Big5-2				V	
8948	鑓	09453	CJK		V			
6009	鑛	0945B	CJK			V	V	
7438	鑢	09462	Big5-2	V				
13261	鑱	09471	Big5-2	V				
9817	鑶	09476	Big5-2				V	
7439	钁	09481	Big5-2	V				
8950	閆	09586	Big5-2				V	
9825	閕	09595	CJK	V				
7440	関	095A2	CJK		V		V	
6696	閪	095AA	CJK			V		
6697	閬	095AC	Big5-2	V				
7027	閲	095B2	CJK		V	V		
8069	閶	095B6	Big5-2				V	
8070	閼	095BC	Big5-2	V				
17051	闓	095D3	Big5-2				V	
6698	闘	095D8	CJK		V		V	
7442	闞	095DE	Big5-2				V	
8954	陥	09665	CJK		V			
8072	険	0967A	CJK		V			
9837	隃	09683	Big5-2				V	
8073	随	0968F	CJK		V			
7031	隗	09697	Big5-2				V	
8955	隠	096A0	CJK		V			
6016	隣	096A3	CJK		V			
8075	隷	096B7	CJK		V			
9841	隽	096BD	CJK				V	
8077	雑	096D1	CJK		V			
6376	雫	096EB	CJK		V			
7446	雱	096F1	Big5-2				V	
8957	雺	096FA	Big5-2	V				
11395	霂	09702	Big5-2				V	
8958	霊	0970A	CJK		V			
13303	霠	09720	Big5-2				V	
8959	靆	09746	Big5-2				V	
7447	靉	09749	Big5-2				V	
8960	靗	09757	CJK	V				
7448	静	09759	CJK		V			
9844	靝	0975D	CJK				V	
6700	靭	0976D	CJK		V			
6377	鞄	09784	Big5-2		V			
6380	韙	097D9	Big5-2				V	
6701	韞	097DE	Big5-2				V	
7037	韡	097E1	Big5-2				V	
6018	韮	097EE	CJK		V			
6019	韵	097F5	CJK			V	V	
6381	頎	0980E	Big5-2				V	
8085	頕	09815	CJK	V				
8967	頚	0981A	CJK		V			
8969	頦	09826	Big5-2	V				
8970	頬	0982C	CJK		V			
5678	頴	09834	CJK		V		V	
8086	頼	0983C	CJK		V			
9852	顒	09852	Big5-2				V	
7450	顔	09854	CJK		V		V	
8973	顕	09855	CJK		V			
6382	顗	09857	Big5-2				V	
6702	顚	0985A	CJK		V			
9855	颪	098AA	CJK		V			
8087	飜	098DC	CJK		V			
6703	飫	098EB	Big5-2	V				
6384	餔	09914	Big5-2	V				
11433	餲	09932	Big5-2	V				
13357	餳	09933	Big5-2	V				
6385	餸	09938	CJK			V		
7452	饂	09942	CJK		V			
8981	馝	0999D	Big5-2	V				
9865	馡	099A1	Big5-2				V	
13370	馦	099A6	Big5-2	V				
6705	駄	099C4	CJK		V			
6387	駅	099C5	CJK		V		V	
8983	駆	099C6	CJK		V			
8984	駈	099C8	CJK		V			
7455	駸	099F8	Big5-2				V	
11460	騂	09A02	Big5-2				V	
8094	騋	09A0B	Big5-2				V	
8988	騒	09A12	CJK		V			
8989	験	09A13	CJK		V			
8990	騨	09A28	CJK		V			
11464	驄	09A44	Big5-2				V	
11466	驎	09A4E	Big5-2				V	
7043	驒	09A52	Big5-2				V	
17310	驣	09A63	CJK			V		
8095	驩	09A69	Big5-2				V	
7044	驫	09A6B	Big5-2				V	
8097	骱	09AB1	Big5-2	V				
13392	骿	09ABF	Big5-2	V				
8098	髄	09AC4	CJK		V			
9870	髙	09AD9	CJK		V		V	
5683	髣	09AE3	Big5-2				V	
8100	髪	09AEA	CJK		V			
6708	髴	09AF4	CJK				V	
13397	鬖	09B16	Big5-2	V				
6710	鬘	09B18	Big5-2				V	
13398	鬞	09B1E	Big5-2	V				
6711	鬪	09B2A	CJK				V	
6392	鬮	09B2E	Big5-2	V			V	
11500	魬	09B6C	Big5-2	V				
8104	鮊	09B8A	CJK	V				
6393	鮎	09B8E	CJK		V			
8999	鮐	09B90	Big5-2	V				
7460	鮓	09B93	Big5-2		V			
13409	鮡	09BA1	Big5-2	V				
13410	鮢	09BA2	Big5-2	V				
8106	鮸	09BB8	Big5-2	V				
9002	鮹	09BB9	Big5-2		V			
8107	鮻	09BBB	CJK	V				
17400	鯃	09BC3	Big5-2	V				
9878	鯑	09BD1	CJK		V			
11505	鯗	09BD7	Big5-2	V				
8109	鯮	09BEE	CJK	V				
9008	鯱	09BF1	CJK		V			
9009	鯵	09BF5	CJK		V			
9883	鰇	09C07	Big5-2	V				
9010	鰊	09C0A	CJK		V			
7465	鰐	09C10	CJK		V			
11507	鰗	09C17	Big5-2	V				
8110	鰡	09C21	Big5-2	V				
7048	鰮	09C2E	CJK	V				
6722	鰯	09C2F	CJK		V			
9884	鰰	09C30	CJK		V			
6723	鰺	09C3A	CJK	V	V			
6724	鱆	09C46	Big5-2		V			
11510	鱙	09C59	Big5-2	V				
8111	鱚	09C5A	CJK		V			
8112	鱠	09C60	Big5-2		V			
9885	鱶	09C76	CJK		V			
9886	鱻	09C7B	CJK				V	
8113	鴈	09D08	Big5-2				V	
9016	鴎	09D0E	CJK		V			
7471	鴫	09D2B	CJK		V			
9017	鴬	09D2C	CJK		V			
9019	鵁	09D41	Big5-2	V				
13439	鵓	09D53	Big5-2	V				
7051	鵟	09D5F	Big5-2				V	
7052	鵤	09D64	CJK	V				
13442	鵻	09D7B	Big5-2	V				
8116	鶏	09D8F	CJK		V			
11528	鶖	09D96	Big5-2	V				
7054	鶿	09DBF	Big5-2	V			V	
5692	鷄	09DC4	CJK		V		V	
13455	鷝	09DDD	Big5-2	V				
7056	鷯	09DEF	Big5-2	V				
8120	鷰	09DF0	Big5-2				V	
7058	鸕	09E15	Big5-2	V			V	
9025	鹸	09E78	CJK		V			
11554	麖	09E96	CJK			V		
7060	麦	09EA6	CJK		V			
6042	麪	09EAA	CJK			V		
7061	麭	09EAD	Big5-2	V				
13472	麶	09EB6	Big5-2	V				
9031	麹	09EB9	CJK		V			
6729	麺	09EBA	CJK		V			
6730	麿	09EBF	CJK		V			
6043	黄	09EC4	CJK		V		V	
9032	黒	09ED2	CJK		V			
8124	黗	09ED7	CJK	V				
9033	黙	09ED9	CJK		V			
6733	鼈	09F08	CJK	V	V	V		
13475	鼢	09F22	Big5-2	V				
13479	齆	09F46	Big5-2	V				
13480	齖	09F56	Big5-2	V				
9038	齢	09F62	CJK		V			
13483	齴	09F74	Big5-2	V				
11562	齻	09F7B	Big5-2	V				
9039	龎	09F8E	CJK				V	
8128	龘	09F98	Big5-2				V	
6735	龠	09FA0	Big5-2				V	
8130	龢	09FA2	Big5-2			V	V	
6736	𠊎	2028E	ExtB	V				
11581	𠎷	203B7	ExtB	V				
8131	𠕆	20546	ExtB	V				
6737	𠕇	20547	ExtB	V				
11582	𠖄	20584	ExtB	V				
11583	𠗻	205FB	ExtB	V				
7063	𠜱	20731	ExtB	V				
